V: 0   Nothing: -0.879038  Left: -0.5588179   Right: -1.490119   Up & Left: -0.5227851  Up & Right: -1.256672   Up: -0.8715408
V: 1   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 2   Nothing: -0.59558  Left: -0.662891   Right: -0.8970564   Up & Left: -1.072085  Up & Right: -0.9295079   Up: -0.8261231
V: 3   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 4   Nothing: -0.5853113  Left: -0.7460565   Right: -0.6689911   Up & Left: -0.6520069  Up & Right: -0.8041238   Up: -0.7351105
V: 5   Nothing: -0.110539  Left: -0.199   Right: -0.215119   Up & Left: -0.1  Up & Right: 0   Up: -0.2306629
V: 6   Nothing: -0.4279024  Left: 0   Right: -0.2748508   Up & Left: -0.302521  Up & Right: -0.1629546   Up: -0.1
V: 7   Nothing: -0.6781148  Left: -0.7799216   Right: -0.8874223   Up & Left: -0.4919869  Up & Right: -0.882416   Up: -0.9221261
V: 8   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 9   Nothing: -0.8384863  Left: -0.5563934   Right: -0.6870372   Up & Left: -0.6653715  Up & Right: 0.4471436   Up: -0.7375109
V: 10   Nothing: 0  Left: 0   Right: 0   Up & Left: -0.1  Up & Right: 0   Up: 0
V: 11   Nothing: -0.2087244  Left: 0   Right: -0.2858744   Up & Left: 0  Up & Right: -0.5691383   Up: -0.1
V: 12   Nothing: -0.4009534  Left: -0.538643   Right: -0.3583951   Up & Left: -0.7957374  Up & Right: -0.3866675   Up: -0.1343237
V: 13   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 14   Nothing: -0.28  Left: -0.109   Right: -2.813917   Up & Left: -0.09578781  Up & Right: -0.352   Up: -0.3342509
V: 15   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 16   Nothing: -0.1194475  Left: 0   Right: -1.909   Up & Left: 0  Up & Right: -0.199   Up: 0
V: 17   Nothing: 0  Left: -0.1   Right: -0.1   Up & Left: -0.6582229  Up & Right: -0.1   Up: -0.1
V: 18   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 19   Nothing: 0  Left: -1.009   Right: 0   Up & Left: -0.19  Up & Right: -0.19   Up: 0
V: 20   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 21   Nothing: 0  Left: -1   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 22   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 23   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 24   Nothing: 0  Left: 0   Right: -0.1   Up & Left: 0  Up & Right: 0   Up: 0
V: 25   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 26   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 27   Nothing: -0.1  Left: 0   Right: 0   Up & Left: 0  Up & Right: -0.1   Up: 0
V: 28   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 29   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: -0.1
V: 30   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 31   Nothing: 0  Left: -0.109   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 32   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 33   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 34   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: -0.1   Up: 0
V: 35   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 36   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 37   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 38   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 39   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 40   Nothing: -1.103715  Left: -0.8072129   Right: -1.078958   Up & Left: -1.156058  Up & Right: -0.8944485   Up: -1.063003
V: 41   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 42   Nothing: -1.302244  Left: -0.9719691   Right: -0.6124797   Up & Left: -0.8675745  Up & Right: -1.077264   Up: -1.107631
V: 43   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 44   Nothing: -0.6855869  Left: -0.5608456   Right: -0.8977834   Up & Left: -1.061238  Up & Right: -0.9292396   Up: -0.7654969
V: 45   Nothing: -0.1981  Left: -0.2919472   Right: -0.1   Up & Left: 0  Up & Right: -0.2601946   Up: -0.38449
V: 46   Nothing: -0.2216071  Left: 0   Right: -0.1443234   Up & Left: -0.1516014  Up & Right: -0.2816762   Up: 0
V: 47   Nothing: -0.9916567  Left: -0.6906505   Right: -0.9287683   Up & Left: -0.2344831  Up & Right: -0.7760153   Up: -0.3971725
V: 48   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 49   Nothing: -0.6409867  Left: -0.8575404   Right: -0.7922798   Up & Left: -0.945475  Up & Right: -0.1649662   Up: -0.9109406
V: 50   Nothing: 0  Left: -0.11791   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 51   Nothing: 0  Left: -0.3299942   Right: -0.1223475   Up & Left: -0.162291  Up & Right: -0.1981   Up: 0
V: 52   Nothing: -0.2884093  Left: -0.4301707   Right: -0.28729   Up & Left: -0.6821457  Up & Right: -0.6841272   Up: -0.2444872
V: 53   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 54   Nothing: -0.489444  Left: -0.5617046   Right: -3.84315   Up & Left: -0.3237556  Up & Right: -1.988946   Up: -0.379371
V: 55   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 56   Nothing: -1.0171  Left: 0   Right: -1.009   Up & Left: -0.07171871  Up & Right: -1.8181   Up: 0
V: 57   Nothing: 0  Left: -0.2152   Right: 0   Up & Left: 0  Up & Right: -0.1   Up: 0
V: 58   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 59   Nothing: -1.09  Left: -1   Right: -0.1   Up & Left: -0.1  Up & Right: 0   Up: 0
V: 60   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 61   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 62   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: -0.1   Up: 0
V: 63   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 64   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 65   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 66   Nothing: 0  Left: 0   Right: -0.1   Up & Left: 0  Up & Right: 0   Up: 0
V: 67   Nothing: -0.1  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 68   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 69   Nothing: -0.1  Left: 0   Right: 0   Up & Left: 0  Up & Right: -0.1   Up: 0
